我国 1965～1985 年的发电总量如表 3 所示，试预测 1986 年和 1987 年的发
电总量。 
年份      发电总量
  t                   y 
1965              676 
1966              825 
1967              774 
1968              716 
1969              940 
1970            1159 
1971            1384 
1972            1524 
1973            1668 
1974            1688 
1975            1958 
1976            2031 
1977            2234 
1978            2566 
1979            2820 
1980            3006 
1981            3093 
1982            3277 
1983            3514 
1984            3770 
1985            4107 
 
